year,temperature
1884,23.73796992
1885,21.60368272
1886,21.47875354
1887,21.82294618
1888,22.47033898
1889,22.32152975
1890,22.25779037
1891,22.15354108
1892,21.68248588
1893,21.45070822
1894,22.10509915
1895,22.04107649
1896,22.20734463
1897,22.11558074
1898,22.34362606
1899,22.25552408
1900,22.06345609
1901,22.35524079
1902,23.03626062
1903,22.00651558
1904,22.06271186
1905,22.09121813
1906,22.18441926
1907,22.41869688
1908,22.12937853
1909,22.63371105
1910,22.26572238
1911,22.30084986
1912,22.19887006
1913,22.22464589
1914,23.03484419
1915,23.05637394
1916,22.11694915
1917,21.73512748
1918,21.84532578
1919,22.37988669
1920,22.23446328
1921,22.3529745
1922,22.48526912
1923,22.58923513
1924,22.36920904
1925,21.98498584
1926,22.05240793
1927,21.96487252
1928,22.50084746
1929,22.60141643
1930,22.43909348
1931,22.55014164
1932,22.38700565
1933,22.56855524
1934,21.9470255
1935,22.49405099
1936,22.15819209
1937,22.98951841
1938,22.72067989
1939,22.51784703
1947,22.03966006
1948,22.80960452
1949,22.71954674
1950,22.50651558
1951,22.11983003
1952,22.75762712
1953,22.52436261
1954,22.65807365
1955,22.57450425
1956,22.41949153
1957,22.32577904
1958,22.84674221
1959,23.06260623
1960,23.11214689
1961,22.97592068
1962,22.79121813
1963,23.2815864
1964,22.84576271
1965,23.14249292
1966,23.8325779
1967,22.9286119
1968,22.96638418
1969,22.80424929
1970,22.79773371
1971,22.78300283
1972,22.84774011
1973,23.26968839
1974,22.80793201
1975,22.8733711
1976,22.5200565
1977,23.37082153
1978,22.84985836
1979,23.10651558
1980,23.04152542
1981,23.10963173
1982,22.9325779
1983,23.06912181
1984,22.50056497
1985,22.65637394
1986,22.81926346
1987,23.42152975
1988,22.84491525
1989,23.01813031
1990,23.13711048
1991,23.51315068
1992,22.81994536
1993,23.12547945
1994,23.58027397
1995,22.80191781
1996,23.30628415
1997,23.36520548
1998,24.01671233
1999,23.77342466
2000,23.34535519
2001,23.64986301
2002,23.92547945
2003,23.61506849
2004,23.43169399
2005,23.29068493
2006,23.52520548
2007,23.68054795
2008,23.10874317
2009,23.55150685
2010,23.25452055
2011,23.06657534
2012,23.41393443
2013,23.2909589
2014,23.49671233
2015,24.71916168